id,value,units,species,source_citation,page
min_ht,15,ft; strict greater than,All target species,USDA Forest Service. Rogue River-Siskiyou National Forest: Boughs. https://fs.usda.gov/r06/rogue-siskiyou/permits/boughs,Bough harvesting guidance; unpaginated
zone_fraction,1/3,fraction of total height,All target species,USDA Forest Service. Rogue River-Siskiyou National Forest: Boughs. https://fs.usda.gov/r06/rogue-siskiyou/permits/boughs,Bough harvesting guidance; unpaginated
removal_cap,1/3,fraction of foliage,All target species,USDA Forest Service. Rogue River-Siskiyou National Forest: Boughs. https://fs.usda.gov/r06/rogue-siskiyou/permits/boughs,Bough harvesting guidance; unpaginated
green_dry,2.27,green lb / oven-dry lb,Noble fir,"Blatner, K.A.; Fight, R.D.; Vance, N.; Savage, M.; Chapman, R. 2005. A model to estimate noble fir bough weight. Western Journal of Applied Forestry 20(1):44-49. https://research.fs.usda.gov/download/treesearch/24847.pdf",47 Table 2; 48 conversion text
green_moderate,2.42,green lb / oven-dry lb,Noble fir,"Blatner, K.A.; Fight, R.D.; Vance, N.; Savage, M.; Chapman, R. 2005. A model to estimate noble fir bough weight. Western Journal of Applied Forestry 20(1):44-49. https://research.fs.usda.gov/download/treesearch/24847.pdf",47 Table 2; 48 conversion text
green_wet,2.54,green lb / oven-dry lb,Noble fir,"Blatner, K.A.; Fight, R.D.; Vance, N.; Savage, M.; Chapman, R. 2005. A model to estimate noble fir bough weight. Western Journal of Applied Forestry 20(1):44-49. https://research.fs.usda.gov/download/treesearch/24847.pdf",47 Table 2; 48 conversion text
b_intercept,-0.42711,coefficient in published log dry-weight model,Noble fir,"Blatner, K.A.; Fight, R.D.; Vance, N.; Savage, M.; Chapman, R. 2005. A model to estimate noble fir bough weight. Western Journal of Applied Forestry 20(1):44-49. https://research.fs.usda.gov/download/treesearch/24847.pdf",48 Table 3
b_height_age,-0.761681,coefficient in published log dry-weight model,Noble fir,"Blatner, K.A.; Fight, R.D.; Vance, N.; Savage, M.; Chapman, R. 2005. A model to estimate noble fir bough weight. Western Journal of Applied Forestry 20(1):44-49. https://research.fs.usda.gov/download/treesearch/24847.pdf",48 Table 3
b_whorl_age,-0.070281,coefficient in published log dry-weight model,Noble fir,"Blatner, K.A.; Fight, R.D.; Vance, N.; Savage, M.; Chapman, R. 2005. A model to estimate noble fir bough weight. Western Journal of Applied Forestry 20(1):44-49. https://research.fs.usda.gov/download/treesearch/24847.pdf",48 Table 3
b_log_age,-1.639278,coefficient in published log dry-weight model,Noble fir,"Blatner, K.A.; Fight, R.D.; Vance, N.; Savage, M.; Chapman, R. 2005. A model to estimate noble fir bough weight. Western Journal of Applied Forestry 20(1):44-49. https://research.fs.usda.gov/download/treesearch/24847.pdf",48 Table 3
b_ns,0.19258,coefficient in published log dry-weight model,Noble fir,"Blatner, K.A.; Fight, R.D.; Vance, N.; Savage, M.; Chapman, R. 2005. A model to estimate noble fir bough weight. Western Journal of Applied Forestry 20(1):44-49. https://research.fs.usda.gov/download/treesearch/24847.pdf",48 Table 3
b_cuttings,0.199302,coefficient in published log dry-weight model,Noble fir,"Blatner, K.A.; Fight, R.D.; Vance, N.; Savage, M.; Chapman, R. 2005. A model to estimate noble fir bough weight. Western Journal of Applied Forestry 20(1):44-49. https://research.fs.usda.gov/download/treesearch/24847.pdf",48 Table 3
b_neighbors,-0.014702,coefficient in published log dry-weight model,Noble fir,"Blatner, K.A.; Fight, R.D.; Vance, N.; Savage, M.; Chapman, R. 2005. A model to estimate noble fir bough weight. Western Journal of Applied Forestry 20(1):44-49. https://research.fs.usda.gov/download/treesearch/24847.pdf",48 Table 3
b_equation,green_lb = 2.27 * dbh^2 * MHT * sum(exp(intercept + height_age*(THT-4.5)/Age + log_age*log(Age) + ns*NS + neighbors*Tnumber) * exp(whorl_age*WhorlAge + cuttings*BoughsPerWhorl)) * exp(sigma2/2),dbh inches; heights ft; ages years; green lb per tree,Noble fir,"Blatner, K.A.; Fight, R.D.; Vance, N.; Savage, M.; Chapman, R. 2005. A model to estimate noble fir bough weight. Western Journal of Applied Forestry 20(1):44-49. https://research.fs.usda.gov/download/treesearch/24847.pdf",47 equation; 49 tree-level aggregation
b_zone,1/2 if HT <= 30 ft; 2/3 if HT > 30 ft,fraction of total height limiting highest merchantable whorl,Noble fir,"Blatner, K.A.; Fight, R.D.; Vance, N.; Savage, M.; Chapman, R. 2005. A model to estimate noble fir bough weight. Western Journal of Applied Forestry 20(1):44-49. https://research.fs.usda.gov/download/treesearch/24847.pdf",46
reserved,0,not reserved; reserved includes wilderness and other designations,All,USDA Forest Service. 2024. FIADB Database Description v9.2. https://research.fs.usda.gov/sites/default/files/2024-05/wo-v9-2_apr2024_ug_fiadb_database_description_nfi.pdf,2-39 RESERVCD
crown_ratio,compacted live crown / actual tree length,percent; proxy for continuous crown length in this analysis,All,USDA Forest Service. 2024. FIADB Database Description v9.2. https://research.fs.usda.gov/sites/default/files/2024-05/wo-v9-2_apr2024_ug_fiadb_database_description_nfi.pdf,3-14 CR
adfor,610,administrative region and forest code; analysis selection,All,USDA Forest Service. 2024. FIADB Database Description v9.2. https://research.fs.usda.gov/sites/default/files/2024-05/wo-v9-2_apr2024_ug_fiadb_database_description_nfi.pdf,2-40 ADFORCD definition
nsvb,National-scale branch and foliage models,dry crown biomass,All target species,"Westfall, J.A.; Coulston, J.W.; Gray, A.N.; et al. 2024. A national-scale tree volume, biomass, and carbon modeling system for the United States. WO-104. https://doi.org/10.2737/WO-GTR-104",36-37; Supplement 1 Tables S7a and S9a
b_sigma2,0.2176,residual variance in log-weight model,Noble fir,"Blatner, K.A.; Fight, R.D.; Vance, N.; Savage, M.; Chapman, R. 2005. A model to estimate noble fir bough weight. Western Journal of Applied Forestry 20(1):44-49. https://research.fs.usda.gov/download/treesearch/24847.pdf",49; logarithmic bias correction text
tonne_to_short_ton,1.1023113109243878,US short tons per metric tonne,All,Exact unit definitions: 1000 kg per metric tonne; 0.45359237 kg per pound; 2000 pounds per US short ton,Unit conversion; not an empirical parameter
