"YEAR","species","quantity","component","green_tons_per_year","total_se_percent","green_tons_acre_year","per_acre_se_percent","total_se_tons_per_year","framework_species_plots","area_plots","nonreserved_acres","component_plots","excluded_unlinked"
2019,"Douglas-fir","boughs","ingrowth",4555.29372666979,21.950101661827,0.0120730154952961,21.3106712760746,999.891603998849,148,168,377312.00862325,44,1
2019,"Douglas-fir","boughs","mortality",948.151253448409,53.6923010297263,0.00251291035476994,53.3558871725558,509.084225218643,148,168,377312.00862325,7,1
2019,"Douglas-fir","boughs","net_change",6273.58653436303,54.4682005846954,0.0166270523889614,54.5603394760942,3417.10969739129,148,168,377312.00862325,106,1
2019,"Douglas-fir","boughs","removals",925.210834373212,50.0992417535502,0.00245211075509935,48.8441400965593,463.523612642675,148,168,377312.00862325,6,1
2019,"Douglas-fir","boughs","survivor_accrual",13191.4235196315,17.7092508486583,0.0349615787946025,17.0738190344883,2336.10228160045,148,168,377312.00862325,66,1
2019,"Douglas-fir","boughs","survivor_loss",-9599.76862411663,19.9205562417815,-0.0254425207910679,19.0339466209385,1912.32730784805,148,168,377312.00862325,60,1
2019,"Douglas-fir","foliage_only","ingrowth",1481.69046349538,21.9846748162045,0.00392696344042117,21.3418025910638,325.744830182172,148,168,377312.00862325,44,1
2019,"Douglas-fir","foliage_only","mortality",302.596533399893,57.5622441445088,0.000801979599069793,57.2424347483204,174.181355328466,148,168,377312.00862325,7,1
2019,"Douglas-fir","foliage_only","net_change",1574.2682300767,53.3538536584064,0.00417232474476746,53.4994144326488,839.932767665906,148,168,377312.00862325,106,1
2019,"Douglas-fir","foliage_only","removals",288.710969554837,49.5865105371029,0.000765178321804004,48.3404197475425,143.161695340081,148,168,377312.00862325,6,1
2019,"Douglas-fir","foliage_only","survivor_accrual",2967.99345239952,17.4652898286169,0.007866151578979,16.811996869218,518.368658555949,148,168,377312.00862325,66,1
2019,"Douglas-fir","foliage_only","survivor_loss",-2284.10818286347,19.4248013731172,-0.00605363235375891,18.4316256138926,443.683477668346,148,168,377312.00862325,60,1
