"scope","sample","SPCD","species","forested_plots","plots_with_live_species","live_tree_records","status"
"High Cascades Ranger District","All forested plots","20/21/22","red fir (Shasta, California and noble)",NA,NA,NA,"Unavailable: district cannot be identified"
"High Cascades Ranger District","All forested plots","81","Incense-cedar",NA,NA,NA,"Unavailable: district cannot be identified"
"High Cascades Ranger District","All forested plots","119","Western white pine",NA,NA,NA,"Unavailable: district cannot be identified"
"High Cascades Ranger District","All forested plots","15","White fir",NA,NA,NA,"Unavailable: district cannot be identified"
"High Cascades Ranger District","All forested plots","202","Douglas-fir",NA,NA,NA,"Unavailable: district cannot be identified"
"High Cascades Ranger District","All forested plots","122","Ponderosa pine",NA,NA,NA,"Unavailable: district cannot be identified"
"High Cascades Ranger District","Remeasured forested plots","20/21/22","red fir (Shasta, California and noble)",NA,NA,NA,"Unavailable: district cannot be identified"
"High Cascades Ranger District","Remeasured forested plots","81","Incense-cedar",NA,NA,NA,"Unavailable: district cannot be identified"
"High Cascades Ranger District","Remeasured forested plots","119","Western white pine",NA,NA,NA,"Unavailable: district cannot be identified"
"High Cascades Ranger District","Remeasured forested plots","15","White fir",NA,NA,NA,"Unavailable: district cannot be identified"
"High Cascades Ranger District","Remeasured forested plots","202","Douglas-fir",NA,NA,NA,"Unavailable: district cannot be identified"
"High Cascades Ranger District","Remeasured forested plots","122","Ponderosa pine",NA,NA,NA,"Unavailable: district cannot be identified"
