"scope","sample","SPCD","species","forested_plots","plots_with_live_species","live_tree_records","status"
"Rogue River portion of the Rogue River-Siskiyou National Forest (administrative forest code 610)","All forested plots","20/21/22","red fir (Shasta, California and noble)",320,69,942,"Available"
"Rogue River portion of the Rogue River-Siskiyou National Forest (administrative forest code 610)","All forested plots","81","Incense-cedar",320,94,354,"Available"
"Rogue River portion of the Rogue River-Siskiyou National Forest (administrative forest code 610)","All forested plots","119","Western white pine",320,48,127,"Available"
"Rogue River portion of the Rogue River-Siskiyou National Forest (administrative forest code 610)","All forested plots","15","White fir",320,200,2178,"Available"
"Rogue River portion of the Rogue River-Siskiyou National Forest (administrative forest code 610)","All forested plots","202","Douglas-fir",320,261,3571,"Available"
"Rogue River portion of the Rogue River-Siskiyou National Forest (administrative forest code 610)","All forested plots","122","Ponderosa pine",320,100,529,"Available"
"Rogue River portion of the Rogue River-Siskiyou National Forest (administrative forest code 610)","Remeasured forested plots","20/21/22","red fir (Shasta, California and noble)",276,64,868,"Available"
"Rogue River portion of the Rogue River-Siskiyou National Forest (administrative forest code 610)","Remeasured forested plots","81","Incense-cedar",276,87,315,"Available"
"Rogue River portion of the Rogue River-Siskiyou National Forest (administrative forest code 610)","Remeasured forested plots","119","Western white pine",276,46,125,"Available"
"Rogue River portion of the Rogue River-Siskiyou National Forest (administrative forest code 610)","Remeasured forested plots","15","White fir",276,175,1980,"Available"
"Rogue River portion of the Rogue River-Siskiyou National Forest (administrative forest code 610)","Remeasured forested plots","202","Douglas-fir",276,226,3057,"Available"
"Rogue River portion of the Rogue River-Siskiyou National Forest (administrative forest code 610)","Remeasured forested plots","122","Ponderosa pine",276,84,427,"Available"
