"YEAR","species","scenario","quantity","net_green_tons_per_year","net_total_se_percent","net_green_tons_acre_year","net_per_acre_se_percent","survivor_green_tons_per_year","survivor_total_se_percent","gross_accrual_green_tons_per_year","gross_accrual_total_se_percent","survivor_loss_green_tons_per_year","survivor_loss_total_se_percent","ingrowth_green_tons_per_year","ingrowth_total_se_percent","mortality_green_tons_per_year","mortality_total_se_percent","removal_green_tons_per_year","removal_total_se_percent","nonreserved_growth_acres","framework_species_plots","area_plots","change_plots","matched_plots","survivor_change_plots","gross_accrual_plots","survivor_loss_plots","ingrowth_mass_plots","mortality_mass_plots","removal_mass_plots","framework_records","matched_survivors","ingrowth_records","mortality_records","removal_records","excluded_unlinked","excluded_plots","area_se_percent","allocation","green_ratio_used","notes"
2019,"Douglas-fir","reach","boughs",1512.308990269,106.660466873452,0.00303627485377127,106.5607247531,-2731.56683821211,39.3774934880629,3078.85764837199,21.6230065315793,-5810.4244865841,17.9117097767782,5442.22788154527,20.0111953484064,724.212400305661,59.7998050308685,474.139652758499,57.9127691687847,498080.398877792,205,234,100,201,81,44,58,56,8,5,2627,2046,410,128,39,3,3,5.30895478654761,"cone",2.42,"Observed-component net; unlinked survivors excluded; not postharvest recovery"
2019,"Douglas-fir","reach","foliage_only",375.93269817441,134.103290300549,0.000754763084476746,134.027820866431,-995.932912463735,32.6147701980326,856.745105566205,21.762819744724,-1852.67801802994,17.502767915646,1775.66801621969,20.0411070294695,246.790391580983,63.6516774816572,157.01201400056,58.3937158703634,498080.398877792,205,234,100,201,81,44,58,56,8,5,2627,2046,410,128,39,3,3,5.30895478654761,"cone",2.42,"Observed-component net; unlinked survivors excluded; not postharvest recovery"
2019,"Douglas-fir","rule","boughs",6066.29102310808,63.9078085685466,0.012179340999517,63.778212677848,2083.52278823627,162.049368706433,17610.444416822,14.6686227019766,-15526.9216285858,15.4130320011603,5817.35565177104,19.9226929827163,1202.09421239076,45.0715783647942,632.493204508473,56.8474036986064,498080.398877792,205,234,145,201,134,89,88,56,9,5,2627,2046,410,128,39,3,3,5.30895478654761,"cone",2.42,"Observed-component net; unlinked survivors excluded; not postharvest recovery"
2019,"Douglas-fir","rule","foliage_only",1508.94943581686,63.1349902634765,0.00302952984943118,62.9961292174374,191.108489492189,398.848283899907,3950.42459990602,14.4336049690123,-3759.31611041383,15.1442324650866,1893.0212707606,19.9269283841315,375.682454759508,48.481604525657,199.49786967642,56.1465626507133,498080.398877792,205,234,145,201,134,89,88,56,9,5,2627,2046,410,128,39,3,3,5.30895478654761,"cone",2.42,"Observed-component net; unlinked survivors excluded; not postharvest recovery"
2019,"Incense-cedar","reach","boughs",111.07679644106,356.299149025355,0.000223009772501233,356.244133913059,-9.92657060877931,3540.72320795801,568.354578552921,37.9028097813489,-578.281149161701,47.669769954617,188.608828812433,48.4993141603143,67.6054617625936,73.6536373834181,0,NA,498080.398877792,71,234,22,65,18,11,7,5,2,0,241,187,37,13,1,2,2,5.30895478654761,"cone",2.42,"Observed-component net; unlinked survivors excluded; not postharvest recovery"
2019,"Incense-cedar","reach","foliage_only",42.977353823435,284.065347847419,8.62859769632891e-05,283.997603927842,-0.49728256608512,21634.4189872855,175.922304109871,37.4558732541527,-176.419586675956,47.849978689773,65.1080919472574,48.1463169475778,21.6334555577373,72.2699984398979,0,NA,498080.398877792,71,234,22,65,18,11,7,5,2,0,241,187,37,13,1,2,2,5.30895478654761,"cone",2.42,"Observed-component net; unlinked survivors excluded; not postharvest recovery"
2019,"Incense-cedar","rule","boughs",127.947058610063,328.811487270845,0.000256880332770245,328.800940078644,6.94369156022428,5518.36061457702,819.255814904398,28.9954806127499,-812.312123344173,38.8826440573713,188.608828812433,48.4993141603143,67.6054617625936,73.6536373834181,0,NA,498080.398877792,71,234,28,65,25,15,11,5,2,0,241,187,37,13,1,2,2,5.30895478654761,"cone",2.42,"Observed-component net; unlinked survivors excluded; not postharvest recovery"
2019,"Incense-cedar","rule","foliage_only",42.7052620894559,331.419508711741,8.57396962130486e-05,331.424477719864,-0.769374300064166,17010.4141323,272.313257277891,28.6752350752439,-273.082631577955,39.6381050387711,65.1080919472574,48.1463169475778,21.6334555577373,72.2699984398979,0,NA,498080.398877792,71,234,28,65,25,15,11,5,2,0,241,187,37,13,1,2,2,5.30895478654761,"cone",2.42,"Observed-component net; unlinked survivors excluded; not postharvest recovery"
2019,"Ponderosa pine","reach","boughs",-994.972079409384,94.2594690242808,-0.0019976134006701,94.1392125325067,-1435.55742109807,64.0629391590064,1086.56823274152,41.4401450267047,-2522.12565383958,39.6154475741079,440.585341688683,39.8622846210245,0,NA,0,NA,498080.398877792,77,234,23,71,19,11,12,12,0,0,424,319,48,55,1,1,1,5.30895478654761,"cone",2.42,"Observed-component net; unlinked survivors excluded; not postharvest recovery"
2019,"Ponderosa pine","reach","foliage_only",-259.726700639572,88.2575229925217,-0.000521455373921065,88.1259311120222,-385.406166989896,58.3427617545257,250.927007421023,40.8496360045298,-636.333174410919,38.6174740831459,125.679466350324,39.1024302808715,0,NA,0,NA,498080.398877792,77,234,23,71,19,11,12,12,0,0,424,319,48,55,1,1,1,5.30895478654761,"cone",2.42,"Observed-component net; unlinked survivors excluded; not postharvest recovery"
